formatted_date,IBM,RR.L,EBAY,INTC,NKE
28/1/16,101.4277344,504.5365906,22.68180084,26.72017479,58.2343483
29/1/16,103.5605087,516.1619873,23.00540161,27.65631485,59.00509262
1/2/16,103.5937042,516.1619873,23.47610092,27.47799683,60.09936523
2/2/16,102.0252533,494.3063965,22.83869934,26.56860352,59.51892471
3/2/16,103.5024261,477.1010437,23.04462814,26.3887291,59.46183777
4/2/16,105.93396,486.4012451,23.03482246,26.77547073,57.25424957
5/2/16,106.6974564,491.9812927,22.7504425,26.11889648,54.39962769
8/2/16,106.4543304,478.9610596,22.04439545,25.92103004,52.37285233
9/2/16,104.0147171,476.6360168,21.58350372,25.91203499,52.98183823
10/2/16,100.7619019,491.0512695,21.88749313,25.39037514,54.6280098
11/2/16,98.80014038,492.9114075,21.65214539,25.38138199,53.28633118
12/2/16,101.4744949,563.5930176,22.05420113,25.75913429,53.68597031
16/2/16,102.8996964,587.3085938,22.50528526,25.88505745,54.98958969
17/2/16,105.7165756,630.5546265,22.77005386,26.50564575,55.35117722
18/2/16,111.040123,614.7442017,23.07404709,26.46067619,55.7603302
19/2/16,111.5682907,597.0737915,23.34862137,25.82208633,56.43593979
22/2/16,112.1467667,612.4190674,23.77028847,26.39771652,57.25424957
23/2/16,110.9982147,617.0693359,23.16230392,25.90303993,57.29231644
24/2/16,111.3335495,607.769043,23.49571609,26.25381279,57.4731102
25/2/16,112.7587662,623.1144409,23.71145248,26.64056206,59.35716629
26/2/16,110.6880112,631.4845581,23.71145248,26.80245018,59.56650162
29/2/16,109.8496628,631.4845581,23.3388176,26.61357498,58.60544205
1/3/16,112.649765,635.2047119,23.78009415,27.31511688,59.87098694
2/3/16,114.2677841,632.4145508,23.26036644,27.46801758,59.20492554
3/3/16,115.5252991,665.8953857,23.47610092,27.50399399,58.64205551
4/3/16,115.5252991,671.9404907,23.93699455,27.54895782,58.44172287
7/3/16,117.4954529,671.010437,23.78990173,27.82778168,56.52419662
8/3/16,116.5900345,657.0602417,23.60358429,27.48600006,57.05842972
9/3/16,117.7134323,651.0150757,23.48591042,27.76482201,55.64652252
10/3/16,117.529007,634.2746582,23.23094749,28.10659599,56.17121506
11/3/16,119.3482361,637.994751,23.55455589,28.5653019,57.31601715
14/3/16,119.7003174,633.8096924,23.809515,28.26849174,58.01242828
15/3/16,119.8512344,628.694519,23.12307549,28.46635818,58.57528687
16/3/16,121.385437,628.2294922,23.22114372,28.5023365,59.01411819
17/3/16,123.2717285,652.4100952,23.29959297,28.76316643,60.27340317
18/3/16,123.3136597,666.3604126,23.30939674,29.39274979,60.09213638
21/3/16,124.6047211,653.3400879,23.86835289,29.08695412,61.74254227
22/3/16,124.1603851,645.8999023,23.66241837,29.06896973,61.91426468
23/3/16,121.8968277,631.4845581,23.7016449,28.78115845,59.56744003
24/3/16,124.0346298,631.0195313,23.85854721,28.6732254,58.81378174
